english_word,word,part_of_speech,sense
keep,păstra,verb,to maintain possession of
kind,fel,noun,"type, race, category"
kitchen,bucătărie,noun,room
know,ști,verb,be justifiably certain or sure about (something true)
land,pământ,noun,part of Earth that is not covered by oceans or other bodies of water
language,limbă,noun,body of words used as a form of communication
large,mare,adj,of greater size — see also big
late,târziu,adv,past a designated time
later,mai târziu,adv,afterward in time
laugh,râset,noun,expression of mirth peculiar to the human species
learn,învăța,verb,to acquire knowledge or ability
leave,pleca,verb,to depart (intransitive)
left,stânga,noun,the left side
leg,picior,noun,lower limb from groin to ankle
lesson,lecție,noun,section of learning or teaching
let,lăsa,verb,allow
letter,literă,noun,a symbol in an alphabet
library,bibliotecă,noun,"institution which holds books, etc."
lie,minți,verb,tell an intentional untruth
lie,sta întins,verb,be in horizontal position
life,viață,noun,the state of being alive
light,ușor,adj,of low weight
like,plăcea,verb,to enjoy
line,linie deaptă,noun,geometry: infinite one-dimensional figure
line,linie,noun,telephone or network connection
lion,leu,noun,big cat Panthera leo
listen,asculta,verb,to pay attention to a sound
little,mic,adj,small in size
live,trăi,verb,be alive
live,a locui,verb,have permanent residence
local,local,adj,of a nearby location
look,privi,verb,to try to see
lose,pierde,verb,cause (something) to cease to be in one's possession or capability
love,iubi,verb,have a strong affection for
lunch,prânz,noun,meal around midday
machine,mașină,noun,mechanical or electrical device
magazine,revistă,noun,periodical
main,principal,adj,"chief, most important, or principal in extent, etc."
make,face,verb,to construct
mall,mall,noun,enclosed shopping centre
man,bărbat,noun,adult male human
map,hartă,noun,visual representation of an area
market,piață,noun,spacious site for trading
married,căsătorit,adj,in a state of marriage; having a wife or a husband
maybe,poate,adv,indicating a lack of certainty
meal,masă,noun,food that is prepared and eaten
mean,însemna,verb,"to convey, indicate"
mean,vrea să spună,verb,to signify
meaning,sens,noun,symbolic value of something
meat,carne,noun,animal flesh used as food
meet,a întâlni,verb,to come face to face with someone by arrangement
meeting,ședință,noun,gathering for a purpose
member,membru,noun,one who officially belongs to a group
menu,meniu,noun,details of the food to be served at a banquet
message,mesaj,noun,"communication, concept or information conveyed"
meter,metru,noun,measuring instrument
midnight,miezul nopții,noun,12 o'clock at night exactly — see also twelve o'clock
mile,milă,noun,measure of length
milk,lapte,noun,liquid
minute,minut,noun,unit of time
miss,rata,verb,to fail to hit
mistake,greșeală,noun,an error
moment,moment,noun,very brief period of time
money,ban,noun,means of exchange and measure of value
month,lună,noun,period into which a year is divided
morning,dimineață,noun,part of the day between dawn and midday
mother,mamă,noun,"female (human) who parents a child, gives birth to a baby, or is pregnant"
mountain,munte,noun,large mass of earth and rock
mouse,șoarece,noun,rodent of the genus Mus
mouth,gură,noun,the opening of a creature through which food is ingested
move,se mișca,verb,(intransitive) to change place or posture; to go
movie,film,noun,motion picture
museum,muzeu,noun,building or institution
music,muzică,noun,"sound, organized in time in a melodious way"
must,trebui,verb,be required to
name,numi,verb,to give a name to
natural,natural,adj,of or relating to nature
need,trebui,verb,to have an absolute requirement for
neighborhood,cartier,noun,division of a municipality or region
never,niciodată,adv,at no time
new,nou,adj,recently made or created
news,știre,noun,new information of interest
newspaper,ziar,noun,publication
nice,simpatic,adj,"pleasant, satisfactory"
night,noapte,noun,period between sunset and sunrise
nose,nas,noun,protuberance on the face
note,notă,noun,marginal comment or explanation
now,acum,adv,at the present time
number,număr,noun,abstract entity used to describe quantity
nurse,infirmieră,noun,person trained to provide care for the sick
object,obiect,noun,thing
ocean,ocean,noun,one of the large bodies of water
office,birou,noun,room(s) or building used for non-manual work
often,des,adv,"frequently, many times"
old,vechi,adj,"of an object, concept, etc: having existed for a relatively long period of time"
once,o dată,adv,one and only one time
onion,ceapă,noun,Allium cepa
online,online,adj,connected to a network
only,numai,adv,without others or anything further; exclusively
open,deschide,verb,to make something accessible
opinion,părere,noun,thought a person has formed about a topic
orange,portocaliu,adj,having the colour of the fruit of an orange tree
order,comanda,verb,to request some product or service
outside,afară,adv,in or to the outside
own,propriu,adj,belonging to (determiner)
page,pagină,noun,one side of a leaf of a book
painting,pictură,noun,an illustration or artwork using paint
pair,pereche,noun,two similar or identical things
pants,pantaloni,noun,garment covering the body from the waist downwards
paper,hârtie,noun,sheet material
paragraph,paragraf,noun,passage in text
parent,părinte,noun,person from whom one is descended
park,parca,verb,bring (a vehicle) to a halt
part,parte,noun,fraction of a whole
partner,partener,noun,someone who is associated with another in a common activity or interest
party,petrecere,noun,social gathering
passport,pașaport,noun,official document for foreign travel
past,trecut,noun,period of time that has already happened
pay,plăti,verb,to give money in exchange for goods or services
pen,stilou,noun,writing tool
pencil,creion,noun,graphite writing-instrument
people,oameni,noun,a body of human beings; a group of two or more persons
pepper,piper,noun,spice
pepper,ardei,noun,fruit of the capsicum
perfect,perfect,adj,thoroughly skilled or talented
period,perioadă,noun,a length of time
person,persoană,noun,individual
phone,a telefona,verb,to call (someone) on the telephone
photograph,poză,noun,picture
phrase,expresie,noun,short written or spoken expression
piano,pian,noun,a keyboard musical instrument
picture,imagine,noun,"representation of visible reality produced by drawing, etc"
piece,bucată,noun,part of a larger whole
pig,porc,noun,mammal of genus Sus
pink,roz,noun,pale red colour
place,loc,noun,"location, position"
plane,plan,noun,geometry: flat surface extending infinitely in all directions
plant,plantă,noun,organism capable of photosynthesis
play,piesă,noun,theatrical performance
player,jucător,noun,one who plays any game or sport
point,punct,noun,particular moment in an event or occurrence
police,poliție,noun,local or general law enforcement agency
poor,sărac,adj,with few or no possessions or money
popular,popular,adj,liked by many people
positive,pozitiv,adj,mathematics: greater than zero
possible,posibil,adj,able but not certain to happen
potato,cartof,noun,plant tuber eaten as starchy vegetable
pound,livră,noun,unit of mass (16 ounces avoirdupois)
prefer,prefera,verb,to favor
prepare,prepara,verb,to make ready for a specific future purpose
present,prezent,noun,current time
pretty,destul de,adv,somewhat
price,preț,noun,cost required to gain possession of something
probably,probabil,adv,in all likelihood
problem,problemă,noun,difficulty
product,produs,noun,amount created by a process
program,program,noun,set of structured activities
project,proiect,noun,planned endeavor
purple,mov,noun,colour
put,pune,verb,to place something somewhere
quarter,sfert,noun,one of four equal parts — see also one-fourth
question,întrebare,noun,"sentence, phrase or word"
quick,rapid,adj,moving with speed
quickly,rapid,adv,"rapidly, fast"
quiet,liniștit,adj,with little sound
quite,cam,adv,to a moderate extent
radio,radio,noun,technology
rain,ploua,verb,of rain: to fall from the sky
read,a citi,verb,to look at and interpret letters or other information
reader,cititor,noun,person who reads a publication
reading,lectură,noun,process of interpreting written language
ready,gata,adj,prepared for immediate action or use
real,real,adj,"true, genuine, not merely nominal"
really,pe bune,adv,actually
reason,cauză,noun,that which causes: a cause
reason,motiv,noun,motive for an action or determination
red,roșu,noun,colour
relax,relaxa,verb,to calm down
remember,își aduce aminte,verb,to recall from one's memory
report,raport,noun,information describing events
restaurant,restaurant,noun,an eating establishment in which diners are served food
result,rezultat,noun,that which results
return,reîntoarcere,noun,act of returning
rice,orez,noun,plants
rich,bogat,adj,having wealth
right,dreapta,noun,"right, not left, side"
river,râu,noun,large stream which drains a landmass
road,drum,noun,a way for travel
room,cameră,noun,division in a building
routine,rutină,noun,course of action to be followed regularly; a standard procedure
rule,regulă,noun,regulation
run,alerga,verb,to move quickly on two feet
sad,trist,adj,feeling sorrow
salad,salată,noun,food
salt,sare,noun,sodium chloride
sandwich,sandviș,noun,dish — see also open sandwich
say,spune,verb,"to say, to tell"
school,școală,noun,an institution dedicated to teaching and learning
science,știință,noun,collective discipline of learning acquired through the scientific method
scientist,om de știință,noun,one whose activities make use of the scientific method
second,secundă,noun,one-sixtieth of a minute; SI unit of time
section,secțiune,noun,"cutting, part cut out"
see,vedea,verb,perceive with the eyes
sell,vinde,verb,to agree to transfer goods or provide services for payment
send,trimite,verb,make something go somewhere
sentence,propoziție,noun,grammatically complete series of words consisting of a subject and predicate
share,împărți,verb,to give
sheep,oaie,noun,animal
shirt,cămașă,noun,article of clothing
shoe,pantof,noun,protective covering for the foot
shop,merge la cumpărături,verb,to visit shops
short,scurt,adj,having a small distance between ends or edges
show,spectacol,noun,entertainment
shower,duș,noun,device for bathing
sick,mișto,adj,"slang: very good, excellent"
similar,asemănător,adj,"having traits or characteristics in common; alike, comparable"
sing,cânta,verb,to produce harmonious sounds with one’s voice
singer,cântăreț,noun,person who sings (male or generic term)
sister,soră,noun,woman or girl having the same parents
sit,așeza,verb,"of a person, be in a position in which the upper body is upright and the legs are supported"
situation,situație,noun,combination of circumstances at a given moment; state of affairs
skill,abilitate,noun,capacity to do something well
skirt,fustă,noun,article of clothing
sleep,dormi,verb,to rest in state of reduced consciousness
slow,încet,adj,not quick in motion
small,mic,adj,not large
smart,deștept,adj,exhibiting social ability or cleverness
snake,șarpe,noun,legless reptile
snow,a ninge,verb,have snow fall from the atmosphere
so,atât,adv,very
sometimes,uneori,adv,"on certain occasions, but not always"
son,fiu,noun,a male person in relation to his parents
song,cântec,noun,music with words
soon,curând,adv,within a short time
sound,suna,verb,to produce a sound
soup,supă,noun,dish
space,spațiu,noun,physical extent in two or three dimensions
speak,a vorbi,verb,to communicate with one's voice using words
special,special,adj,distinguished by a unique or unusual quality
spell,rosti,verb,to write or say the letters that form a word
spend,cheltui,verb,to pay out
sport,sport,noun,any athletic activity that uses physical skills
spring,primăvară,noun,season between winter and summer in temperate climates
stand,sta în picioare,verb,to support oneself on the feet in an erect position
star,stea,noun,"a celestial body appearing as a point of light on the clear night sky, whose position is relatively fixed with respect to each other"
start,începe,verb,to begin
statement,declarație,noun,declaration or remark
station,stație,noun,place where a vehicle may stop
stay,sta,verb,to remain in a particular place
stay,rămâne,verb,to remain in a particular place
still,încă,adv,"up to a time, as in the preceding time"
stop,stație,noun,place to get on and off mass transport
store,depozit,noun,place where items may be kept
story,poveste,noun,account of events
street,stradă,noun,paved part of road in a village or a town
strong,puternic,adj,capable of producing great physical force
student,student,noun,person who studies a subject
study,învăța,verb,to revise/review materials
style,stil,noun,"manner of creating, doing, or presenting something, especially a work of architecture or art"
subject,temă,noun,main topic
success,succes,noun,achievement of one's aim or goal
sugar,zahăr,noun,sucrose from sugar cane or sugar beet used to sweeten food and drink
summer,vară,noun,hottest season
sun,soare,noun,"a star, especially when seen as the centre of any single solar system"
supermarket,magazin universal,noun,store
sure,sigur,adj,"certain, reliable"
swim,înota,verb,move through water
swimming,înot,noun,human activity of moving oneself through water
table,masă,noun,item of furniture
take,lua,verb,to get into one's hands or control
talk,a vorbi,verb,to communicate by speech
tall,înalt,adj,of a person
tall,înalt,adj,of a building
taxi,taxi,noun,vehicle available for public hire
tea,ceai,noun,drink made from leaves of tea plant
teach,preda,verb,to pass on one's knowledge as one's profession
teacher,profesor,noun,person who teaches
team,echipă,noun,group of people
teenager,adolescent,noun,person aged between thirteen and nineteen
telephone,a telefona,verb,to call someone
television,televiziune,noun,medium
tell,spune,verb,to pass information
tennis,tenis,noun,sport played by two or four players with strung racquets
terrible,groaznic,adj,dreadful; causing alarm or fear
test,proba,verb,to challenge
thank,a mulțumi,verb,to express appreciation or gratitude toward (someone or something)
theater,teatru,noun,place or building
then,atunci,adv,at that time
there,acolo,adv,in or at that place
thing,lucru,noun,"that which is considered to exist as a separate entity, object, quality or concept"
think,gândi,verb,"to ponder, to go over in one's head"
thirsty,însetat,adj,needing to drink
ticket,bilet,noun,admission to entertainment
time,timp,noun,inevitable passing of events
tired,obosit,adj,in need of rest or sleep
title,titlu,noun,"name of a book, etc"
today,astăzi,noun,today (noun)
together,împreună,adv,"at the same time, in the same place"
toilet,toaletă,noun,"room used for urination and defecation — see also bathroom, men's room, ladies' room, outhouse, portable toilet, latrine, shitter"
tomato,roșie,noun,fruit
tomorrow,mâine,noun,the day after the present day
tonight,noaptea aceasta,noun,nighttime today
too,deasemenea,adv,likewise
too,prea,adv,more than enough; as too much
tooth,dinte,noun,anatomy: tooth
topic,subiect,noun,subject; theme
tourist,turist,noun,someone who travels for pleasure
town,oraș,noun,settlement
traffic,trafic,noun,pedestrians or vehicles on roads or on the air
train,tren,noun,line of connected cars or carriages
travel,călătorie,noun,act of traveling
tree,copac,noun,large woody plant
trip,călătorie,noun,journey
truck,camion,noun,"heavier motor vehicle designed to carry goods — see also semi-trailer truck, pickup truck"
TRUE,adevărat,adj,concurring with a given set of facts
try,încerca,verb,to attempt
turn,viraj,noun,change of direction or orientation
type,fel,noun,grouping based on shared characteristics
umbrella,umbrelă,noun,cloth-covered frame used for protection against rain or sun
uncle,unchi,noun,brother (or brother-in-law) of someone’s parent
under,sub,adv,In a way inferior to
understand,înțelege,verb,to grasp the meaning of
university,universitate,noun,institution of higher education
up,sus,adv,away from earth’s surface
use,a folosi,verb,"employ, apply"
useful,util,adj,having a practical or beneficial use
usually,de obicei,adv,most of the time
vacation,vacanță,noun,period of leisure time
vegetable,legumă,noun,a plant raised for some edible part of it
very,foarte,adv,to a high degree
video,video,noun,"television show, movie"
visit,vizită,noun,single act of visiting
visitor,vizitator,noun,guest
wait,aștepta,verb,delay until some event
waiter,chelner,noun,a server in a restaurant or similar
wake,trezi,verb,to stop sleeping
walk,plimbare,noun,trip made by walking
wall,perete,noun,substantial structure acting as side or division in a building
want,vrea,verb,to desire
warm,cald,adj,having a temperature slightly higher than usual
wash,spăla,verb,to clean with water
watch,ceas,noun,portable or wearable timepiece
water,apă,noun,inorganic compound H₂O
way,drum,noun,"road, direction, path"
wear,purta,verb,to have on (clothes or accessories)
weather,vreme,noun,state of the atmosphere
website,site,noun,a collection of pages on the World Wide Web
week,săptămână,noun,period of seven days
weekend,weekend,noun,break in the working week
welcome,binevenit,adj,whose arrival is a cause of joy
well,bine,adj,in good health
when,când,adv,"at what time, as a direct question"
where,unde,adv,at what place; to what place; from what place
white,alb,noun,color
why,de ce,adv,for what reason
wife,soție,noun,female partner in a marriage
win,câștiga,verb,transitive: achieve victory in
window,fereastră,noun,opening for light and air
wine,vin,noun,alcoholic beverage made from grapes
winter,iarnă,noun,"fourth season, marked by short days and the lowest temperatures"
woman,femeie,noun,adult female person
word,cuvânt,noun,unit of language
work,muncă,noun,"labour, employment, occupation, job"
worker,lucrător,noun,person who performs labor
world,lume,noun,human collective existence
write,scrie,verb,"to form letters, etc."
writer,scriitor,noun,person who writes; an author
writing,scriere,noun,written letters or symbols
wrong,greșit,adj,incorrect
yard,curte,noun,land around a house
year,an,noun,time it takes for the Earth to complete one revolution around the Sun
yellow,galben,noun,color
yesterday,ieri,noun,day before today
young,tânăr,adj,in the early part of life or growth
