english_word,word,part_of_speech,sense
own,propio,adj,belonging to (determiner)
page,página,noun,one side of a leaf of a book
painting,pintura,noun,an illustration or artwork using paint
pair,par,noun,two similar or identical things
pants,pantalón,noun,garment covering the body from the waist downwards
paper,papel,noun,sheet material
paragraph,párrafo,noun,passage in text
parent,padre,noun,person from whom one is descended
park,aparcar,verb,bring (a vehicle) to a halt
part,parte,noun,fraction of a whole
partner,socio,noun,someone who is associated with another in a common activity or interest
party,fiesta,noun,social gathering
passport,pasaporte,noun,official document for foreign travel
past,pasado,noun,period of time that has already happened
pay,pagar,verb,to give money in exchange for goods or services
pen,bolígrafo,noun,writing tool
pencil,lápiz,noun,graphite writing-instrument
people,gente,noun,a body of human beings; a group of two or more persons
pepper,pimienta,noun,spice
pepper,pimiento,noun,fruit of the capsicum
perfect,perfecto,adj,without fault or mistake
period,período,noun,a length of time
person,persona,noun,individual
personal,personal,adj,of or pertaining to a particular person
phone,llamar por teléfono,verb,to call (someone) on the telephone
photograph,foto,noun,picture
phrase,frase,noun,short written or spoken expression
piano,piano,noun,a keyboard musical instrument
picture,imagen,noun,"representation of visible reality produced by drawing, etc"
piece,pedazo,noun,part of a larger whole
pig,cerdo,noun,mammal of genus Sus
pink,rosa,noun,pale red colour
place,lugar,noun,"location, position"
plan,planear,verb,to intend
plane,avión,noun,airplane
plant,planta,noun,organism capable of photosynthesis
play,obra teatral,noun,theatrical performance
player,jugador,noun,one who plays any game or sport
point,momento,noun,particular moment in an event or occurrence
point,punto,noun,full stop
police,policía,noun,local or general law enforcement agency
pool,billar,noun,cue sport played on a pool table
poor,pobre,adj,with few or no possessions or money
popular,popular,adj,liked by many people
positive,positivo,adj,characterised by constructiveness
possible,posible,adj,capable of being done or achieved; feasible
post,postear,verb,(Internet) publish a message
potato,patata,noun,plant tuber eaten as starchy vegetable
pound,libra,noun,unit of mass (16 ounces avoirdupois)
prefer,preferir,verb,to favor
prepare,preparar,verb,to make ready for a specific future purpose
present,presente,noun,current time
pretty,bastante,adv,somewhat
price,precio,noun,cost required to gain possession of something
probably,probablemente,adv,in all likelihood
problem,problema,noun,difficulty
product,producto,noun,amount created by a process
program,programa,noun,set of structured activities
project,proyecto,noun,planned endeavor
purple,morado,noun,colour
put,poner,verb,to place something somewhere
quarter,cuarto,noun,one of four equal parts — see also one-fourth
question,pregunta,noun,"sentence, phrase or word"
quick,rápido,adj,moving with speed
quickly,rápidamente,adv,"rapidly, fast"
quiet,quieto,adj,with little sound
quite,bastante,adv,to the greatest extent; completely
radio,radio,noun,technology
rain,llover,verb,of rain: to fall from the sky
read,leer,verb,to look at and interpret letters or other information
reader,lector,noun,person who reads a publication
reading,lectura,noun,process of interpreting written language
ready,listo,adj,prepared for immediate action or use
real,real,adj,"true, genuine, not merely nominal"
really,realmente,adv,actually
reason,razón,noun,that which causes: a cause
red,rojo,noun,colour
relax,reposar,verb,to calm down
remember,recordar,verb,to recall from one's memory
repeat,repetir,verb,do or say again
report,informe,noun,information describing events
restaurant,restaurante,noun,an eating establishment in which diners are served food
result,resultado,noun,that which results
return,vuelta,noun,act of returning
rice,arroz,noun,plants
rich,rico,adj,having wealth
ride,montar,verb,"to transport oneself by sitting on and directing a horse, bicycle etc."
right,derecha,noun,"right, not left, side"
river,río,noun,large stream which drains a landmass
road,ruta,noun,a way for travel
room,habitación,noun,division in a building
routine,rutina,noun,course of action to be followed regularly; a standard procedure
rule,regla,noun,regulation
run,correr,verb,to move quickly on two feet
sad,triste,adj,feeling sorrow
salad,ensalada,noun,food
salt,sal,noun,sodium chloride
sandwich,sándwich,noun,dish — see also open sandwich
say,decir,verb,"to say, to tell"
school,escuela,noun,an institution dedicated to teaching and learning
science,ciencia,noun,particular discipline or branch of learning
scientist,científico,noun,one whose activities make use of the scientific method
second,segundo,noun,one-sixtieth of a minute; SI unit of time
section,sección,noun,"cutting, part cut out"
see,ver,verb,perceive with the eyes
sell,vender,verb,to agree to transfer goods or provide services for payment
send,enviar,verb,make something go somewhere
send,mandar,verb,make something go somewhere
sentence,oración,noun,grammatically complete series of words consisting of a subject and predicate
share,compartir,verb,to give
sheep,oveja,noun,animal
shirt,camisa,noun,article of clothing
shoe,zapato,noun,protective covering for the foot
shop,ir de compras,verb,to visit shops
shopping,compras,noun,activity of buying
short,corto,adj,having a small distance between ends or edges
show,espectáculo,noun,entertainment
shower,ducha,noun,device for bathing
sick,harto,adj,"tired (of), annoyed (by)"
similar,similar,adj,"having traits or characteristics in common; alike, comparable"
sing,cantar,verb,to produce harmonious sounds with one’s voice
singer,cantante,noun,person who sings (male or generic term)
sister,hermana,noun,woman or girl having the same parents
sit,sentarse,verb,"of a person, be in a position in which the upper body is upright and the legs are supported"
situation,situación,noun,combination of circumstances at a given moment; state of affairs
skill,habilidad,noun,capacity to do something well
skirt,falda,noun,article of clothing
sleep,dormir,verb,to rest in state of reduced consciousness
slow,lento,adj,not quick in motion
small,pequeño,adj,not large
smart,listo,adj,"exhibiting intellectual knowledge, such as that found in books"
snake,serpiente,noun,legless reptile
snow,nevar,verb,have snow fall from the atmosphere
so,tan,adv,very
sometimes,a veces,adv,"on certain occasions, but not always"
son,hijo,noun,a male person in relation to his parents
song,canción,noun,music with words
soon,pronto,adv,within a short time
sorry,lamentar,adj,"repentant, apologetic"
sound,sonar,verb,to produce a sound
soup,sopa,noun,dish
space,espacio,noun,physical extent in two or three dimensions
speak,hablar,verb,to communicate with one's voice using words
special,especial,adj,distinguished by a unique or unusual quality
spell,deletrear,verb,to write or say the letters that form a word
spelling,ortografía,noun,"the practice, ability, or subject of forming words with letters, or of reading the letters of words; orthography"
spend,gastar,verb,to pay out
sport,deporte,noun,any athletic activity that uses physical skills
spring,primavera,noun,season between winter and summer in temperate climates
stand,estar de pie,verb,to support oneself on the feet in an erect position
star,estrella,noun,"a celestial body appearing as a point of light on the clear night sky, whose position is relatively fixed with respect to each other"
start,empezar,verb,to begin
start,comenzar,verb,to begin
statement,declaración,noun,declaration or remark
station,estación,noun,place where a vehicle may stop
stay,quedar[se],verb,to remain in a particular place
still,todavía,adv,"up to a time, as in the preceding time"
still,aún,adv,"up to a time, as in the preceding time"
stop,parada,noun,place to get on and off mass transport
store,almacén,noun,place where items may be kept
story,cuento,noun,account of events
street,calle,noun,paved part of road in a village or a town
strong,fuerte,adj,capable of producing great physical force
student,estudiante,noun,person who studies a subject
study,estudiar,verb,to revise/review materials
style,estilo,noun,"manner of creating, doing, or presenting something, especially a work of architecture or art"
style,estilo,noun,"particular way in which one grooms, adorns, dresses, or carries oneself; (specifically) a way thought to be attractive or fashionable"
subject,tema,noun,main topic
success,éxito,noun,achievement of one's aim or goal
sugar,azúcar,noun,sucrose from sugar cane or sugar beet used to sweeten food and drink
summer,verano,noun,hottest season
sun,sol,noun,"a star, especially when seen as the centre of any single solar system"
supermarket,supermercado,noun,store
sure,seguro,adj,"certain, reliable"
sweater,jersey,noun,similar garment worn for warmth
swim,nadar,verb,move through water
swimming,natación,noun,human activity of moving oneself through water
table,mesa,noun,item of furniture
take,tomar,verb,to get into one's possession
talk,hablar,verb,to communicate by speech
tall,alto,adj,of a person
tall,alto,adj,of a building
taxi,taxi,noun,vehicle available for public hire
tea,té,noun,drink made from leaves of tea plant
teach,enseñar,verb,to pass on knowledge
teacher,profesor,noun,person who teaches
team,equipo,noun,group of people
teenager,adolescente,noun,person aged between thirteen and nineteen
telephone,llamar por teléfono,verb,to call someone
television,tele,noun,medium
tell,decir,verb,to pass information
tennis,tenis,noun,sport played by two or four players with strung racquets
terrible,terrible,adj,dreadful; causing alarm or fear
test,poner a prueba,verb,to challenge
test,probar,verb,to place a product or piece of equipment under everyday and/or extreme conditions
text,texto,noun,a written passage
thank,agradecer,verb,to express appreciation or gratitude toward (someone or something)
theater,teatro,noun,place or building
then,entonces,adv,at that time
there,ahí,adv,in or at that place
thing,cosa,noun,"that which is considered to exist as a separate entity, object, quality or concept"
think,pensar,verb,"to ponder, to go over in one's head"
thirsty,tener sed,adj,needing to drink
ticket,entrada,noun,admission to entertainment
time,tiempo,noun,inevitable passing of events
